Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 411 | +0.01923188918653402288 | +0.63263702667414434266 |
| 412 | -0.01917012332213999595 | +0.61346690335200437794 |
| 413 | +0.01910861218229101613 | +0.63257551553429536284 |
| 414 | -0.01904735431555126812 | +0.61352816121874409472 |
| 415 | +0.01898634828195328028 | +0.63251450950069743051 |
| 416 | -0.01892559265287876644 | +0.61358891684781868836 |
| 417 | +0.01886508601094097348 | +0.63245400285875963409 |
| 418 | -0.01880482694986856940 | +0.61364917590889112020 |
| 419 | +0.01874481407439100925 | +0.63239398998328211210 |
| 420 | -0.01868504600012536529 | +0.61370894398315678497 |
| 421 | +0.01862552135346460733 | +0.63233446533662140965 |
| 422 | -0.01856623877146731244 | +0.61376822656515406251 |
